secs,miles,pickup,dropoff,hour,month,day,wday,company_id
501,2.2,50,49,10,1,3,Thu,18
991,7.0,50,69,10,1,4,Fri,18
678,6.9,50,69,14,1,16,Wed,18
388,1.29,50,51,7,1,22,Tue,18
1113,15.4,50,51,10,1,24,Thu,18
1155,7.23,50,69,12,1,28,Mon,18
897,1.63,50,49,20,2,1,Fri,18
1958,16.95,50,8,12,2,6,Wed,18
964,7.14,50,69,12,2,11,Mon,18
3135,9.84,50,61,15,2,11,Mon,18
660,7.1,50,69,14,2,13,Wed,18
960,7.02,50,69,12,3,11,Mon,18
2709,17.22,50,28,8,3,25,Mon,18
652,3.0,50,50,8,5,15,Wed,18
3148,17.83,50,33,15,6,8,Sat,18
3452,15.92,50,28,7,6,28,Fri,18
3253,16.23,50,28,7,7,3,Wed,18
4704,6.03,50,44,9,7,3,Wed,18
877,6.15,50,43,6,7,4,Thu,18
3956,17.06,50,28,8,7,15,Mon,18
2628,15.64,50,28,15,7,16,Tue,18
1173,6.1,50,43,9,7,19,Fri,18
1462,11.76,50,41,14,7,30,Tue,18
891,4.86,50,44,18,8,10,Sat,18
2304,16.48,50,28,16,8,13,Tue,18
629,3.1,50,45,11,8,20,Tue,18
6473,12.06,50,48,16,8,30,Fri,18
1326,10.68,50,38,19,10,2,Wed,18
966,11.2,50,38,23,10,5,Sat,18
1087,10.56,50,34,15,10,23,Wed,18
1483,6.78,50,38,7,10,30,Wed,18
1612,6.79,50,38,7,10,31,Thu,18
1765,6.77,50,38,7,11,4,Mon,18
1733,6.77,50,38,7,11,5,Tue,18
1957,6.77,50,38,7,11,6,Wed,18
1713,6.78,50,38,7,11,7,Thu,18
1702,6.77,50,38,7,11,8,Fri,18
1532,6.51,50,39,7,11,18,Mon,18
