secs,miles,pickup,dropoff,hour,month,day,wday,company_id
600,2.6,6,16,23,1,1,Tue,37
360,1.8,6,3,11,1,4,Fri,37
60,0.5,6,6,11,1,4,Fri,37
720,2.4,6,7,11,1,23,Wed,37
660,2.8,6,8,23,1,23,Wed,37
180,0.6,6,7,15,1,26,Sat,37
1260,3.6,6,8,19,1,29,Tue,37
420,1.4,6,5,1,2,2,Sat,37
660,5.2,6,32,13,2,4,Mon,37
360,1.5,6,3,2,2,9,Sat,37
300,1.0,6,7,18,2,9,Sat,37
240,1.3,6,6,5,2,10,Sun,37
240,1.2,6,6,1,2,14,Thu,37
300,1.4,6,3,22,2,19,Tue,37
300,0.8,6,6,19,2,22,Fri,37
1140,4.6,6,28,1,2,23,Sat,37
360,3.0,6,8,22,3,4,Mon,37
1020,5.5,6,8,20,3,8,Fri,37
600,2.0,6,5,22,3,8,Fri,37
720,5.4,6,32,22,3,20,Wed,37
240,0.5,6,6,17,3,21,Thu,37
600,3.0,6,3,2,3,24,Sun,37
540,4.0,6,8,15,4,3,Wed,37
660,2.6,6,3,3,4,6,Sat,37
480,1.6,6,7,0,4,24,Wed,37
660,1.9,6,8,17,4,24,Wed,37
900,3.4,6,8,22,4,24,Wed,37
360,1.1,6,3,11,5,2,Thu,37
1500,6.0,6,28,17,5,3,Fri,37
540,2.1,6,7,18,5,6,Mon,37
780,4.7,6,8,22,5,6,Mon,37
540,4.4,6,8,23,5,6,Mon,37
1440,3.0,6,5,22,5,8,Wed,37
1020,4.7,6,24,23,5,8,Wed,37
540,1.5,6,5,18,5,10,Fri,37
900,1.9,6,7,18,5,10,Fri,37
1620,5.2,6,32,18,5,10,Fri,37
1620,6.6,6,15,0,5,11,Sat,37
420,2.4,6,8,19,5,13,Mon,37
480,2.0,6,3,0,5,15,Wed,37
360,1.2,6,7,22,5,20,Mon,37
540,4.2,6,8,23,5,20,Mon,37
600,1.6,6,5,23,5,21,Tue,37
780,3.7,6,22,0,5,23,Thu,37
2520,14.2,6,76,9,5,30,Thu,37
1440,4.9,6,28,9,5,31,Fri,37
1140,6.9,6,1,20,6,2,Sun,37
1080,5.1,6,24,21,6,2,Sun,37
840,1.4,6,6,19,6,3,Mon,37
1680,3.8,6,22,20,6,3,Mon,37
720,3.1,6,8,23,6,4,Tue,37
1020,7.1,6,28,0,6,5,Wed,37
360,1.1,6,6,1,6,5,Wed,37
840,4.7,6,8,23,6,5,Wed,37
1020,4.7,6,32,23,6,5,Wed,37
1800,3.8,6,8,18,6,6,Thu,37
1800,6.4,6,28,17,6,7,Fri,37
360,1.1,6,7,3,6,8,Sat,37
960,2.7,6,22,9,6,10,Mon,37
1320,5.4,6,32,15,6,11,Tue,37
240,1.4,6,6,20,6,11,Tue,37
420,1.5,6,4,22,6,18,Tue,37
1260,4.7,6,24,22,6,18,Tue,37
1200,3.3,6,24,23,6,18,Tue,37
480,3.9,6,8,0,6,19,Wed,37
840,5.8,6,28,0,6,19,Wed,37
1800,4.2,6,28,9,6,20,Thu,37
1080,7.3,6,32,0,6,21,Fri,37
1680,4.1,6,24,19,6,21,Fri,37
1560,5.8,6,32,20,6,21,Fri,37
600,1.7,6,6,21,6,21,Fri,37
600,4.9,6,32,4,6,22,Sat,37
1260,4.6,6,28,21,6,22,Sat,37
1380,5.6,6,32,1,6,23,Sun,37
900,3.6,6,77,0,6,24,Mon,37
180,1.1,6,7,1,6,24,Mon,37
1020,3.8,6,6,2,6,24,Mon,37
