secs,miles,pickup,dropoff,hour,month,day,wday,company_id
1860,15.7,62,6,17,1,3,Thu,4
1320,11.7,62,24,21,1,3,Thu,4
1200,12.6,62,8,23,1,7,Mon,4
1200,12.2,62,32,23,1,9,Wed,4
3240,12.4,62,8,18,1,11,Fri,4
1800,11.0,62,32,17,1,18,Fri,4
1380,12.1,62,33,23,1,23,Wed,4
1980,12.1,62,8,18,2,6,Wed,4
1680,16.2,62,6,15,2,28,Thu,4
1440,10.5,62,32,15,3,5,Tue,4
1380,12.3,62,8,14,3,11,Mon,4
1380,10.8,62,32,19,3,29,Fri,4
1380,9.7,62,28,13,3,31,Sun,4
1800,14.5,62,6,20,3,31,Sun,4
1860,12.4,62,8,17,4,1,Mon,4
3000,14.4,62,6,12,4,19,Fri,4
2580,19.6,62,77,22,4,21,Sun,4
1980,13.3,62,8,10,5,24,Fri,4
1920,11.2,62,32,15,5,24,Fri,4
2220,12.3,62,32,16,5,30,Thu,4
840,3.2,62,70,15,6,6,Thu,4
2760,12.4,62,28,8,6,10,Mon,4
2100,16.5,62,6,20,7,26,Fri,4
2160,11.1,62,44,15,7,27,Sat,4
3060,36.3,62,62,11,8,11,Sun,4
1740,20.5,62,28,23,8,20,Tue,4
2520,12.4,62,32,17,9,5,Thu,4
2100,12.4,62,8,19,11,8,Fri,4
1560,12.4,62,32,13,11,20,Wed,4
1260,12.6,62,8,20,11,27,Wed,4
1440,12.7,62,39,17,12,14,Sat,4
1620,11.4,62,8,14,12,30,Mon,4
