secs,miles,pickup,dropoff,hour,month,day,wday,company_id
1080,4.4,61,41,19,2,11,Mon,2
1020,3.3,61,40,11,2,17,Sun,2
1620,8.0,61,49,15,3,20,Wed,2
1380,7.1,61,32,17,4,21,Sun,2
1020,1.9,61,59,12,5,30,Thu,2
1920,7.3,61,8,8,7,25,Thu,2
1800,11.9,61,56,19,8,3,Sat,2
900,7.2,61,71,20,9,9,Mon,2
1320,7.3,61,32,11,10,8,Tue,2
1380,4.5,61,61,12,10,12,Sat,2
2400,6.7,61,73,13,10,12,Sat,2
480,1.8,61,38,15,10,21,Mon,2
1680,12.5,61,50,12,10,26,Sat,2
1440,6.7,61,56,13,10,28,Mon,2
2160,6.8,61,42,14,11,4,Mon,2
1560,5.5,61,56,17,11,27,Wed,2
6180,7.5,61,61,10,12,18,Wed,2
