secs,miles,pickup,dropoff,hour,month,day,wday,company_id
1260,11.7,49,32,19,1,13,Sun,17
2100,12.5,49,8,15,1,17,Thu,17
360,2.1,49,49,2,1,26,Sat,17
300,0.6,49,8,20,1,26,Sat,17
2820,34.6,49,33,12,2,3,Sun,17
4440,20.1,49,77,15,2,11,Mon,17
1740,9.6,49,40,14,3,21,Thu,17
482,5.2,49,37,23,5,10,Fri,17
1920,15.0,49,8,15,5,30,Thu,17
2160,11.6,49,41,11,6,15,Sat,17
1140,1.9,49,32,17,7,2,Tue,17
480,1.5,49,75,20,7,4,Thu,17
960,9.7,49,34,20,8,28,Wed,17
1980,14.5,49,8,9,8,29,Thu,17
1740,12.0,49,8,18,9,17,Tue,17
1560,6.3,49,70,17,10,1,Tue,17
1680,12.2,49,8,18,10,1,Tue,17
780,3.0,49,73,1,10,20,Sun,17
180,0.7,49,6,11,10,21,Mon,17
660,2.7,49,63,22,12,22,Sun,17
