secs,miles,pickup,dropoff,hour,month,day,wday,company_id
1444,17.8,76,8,11,1,1,Tue,22
1509,17.9,76,76,12,1,1,Tue,22
455,2.6,76,76,13,1,1,Tue,22
2344,27.1,76,56,13,1,1,Tue,22
1504,17.3,76,8,15,1,1,Tue,22
1456,14.7,76,7,15,1,1,Tue,22
1626,14.5,76,3,16,1,1,Tue,22
1121,15.6,76,76,18,1,1,Tue,22
1261,16.8,76,8,19,1,1,Tue,22
1188,13.2,76,22,19,1,1,Tue,22
1422,15.94,76,7,19,1,1,Tue,22
1521,12.5,76,3,19,1,1,Tue,22
1559,14.2,76,3,19,1,1,Tue,22
1507,13.0,76,13,20,1,1,Tue,22
1450,18.0,76,8,21,1,1,Tue,22
1447,17.7,76,8,21,1,1,Tue,22
1020,11.4,76,16,22,1,1,Tue,22
1185,16.73,76,28,22,1,1,Tue,22
1316,16.5,76,8,23,1,1,Tue,22
1205,12.11,76,22,23,1,1,Tue,22
1465,17.1,76,8,1,1,2,Wed,22
1265,12.28,76,4,2,1,2,Wed,22
1296,15.09,76,8,6,1,2,Wed,22
1554,16.5,76,76,9,1,2,Wed,22
1868,25.7,76,28,12,1,2,Wed,22
2282,17.2,76,8,13,1,2,Wed,22
1690,12.4,76,13,13,1,2,Wed,22
1999,13.29,76,3,13,1,2,Wed,22
1993,14.0,76,3,15,1,2,Wed,22
2450,14.1,76,6,16,1,2,Wed,22
2249,17.6,76,8,16,1,2,Wed,22
1005,6.09,76,10,17,1,2,Wed,22
2524,16.0,76,7,17,1,2,Wed,22
2837,14.6,76,6,17,1,2,Wed,22
1655,14.54,76,24,18,1,2,Wed,22
1757,17.79,76,32,18,1,2,Wed,22
1504,17.4,76,8,18,1,2,Wed,22
1389,15.7,76,7,19,1,2,Wed,22
1834,17.0,76,28,19,1,2,Wed,22
1569,17.9,76,8,20,1,2,Wed,22
1506,18.57,76,32,21,1,2,Wed,22
659,2.8,76,76,21,1,2,Wed,22
1643,14.8,76,6,21,1,2,Wed,22
1141,17.0,76,8,21,1,2,Wed,22
1063,13.1,76,22,22,1,2,Wed,22
1263,17.0,76,28,22,1,2,Wed,22
1719,24.8,76,41,22,1,2,Wed,22
1048,15.2,76,76,23,1,2,Wed,22
1079,16.3,76,24,0,1,3,Thu,22
1255,17.7,76,8,1,1,3,Thu,22
