secs,miles,pickup,dropoff,hour,month,day,wday,company_id
660,5.4,6,32,12,2,7,Thu,43
660,3.0,6,22,6,2,12,Tue,43
960,6.6,6,24,11,2,18,Mon,43
1260,6.1,6,32,10,2,27,Wed,43
1440,7.6,6,28,14,3,1,Fri,43
1140,4.5,6,8,10,5,4,Sat,43
2580,16.5,6,76,9,5,14,Tue,43
1200,4.7,6,32,9,5,22,Wed,43
780,5.1,6,8,11,5,31,Fri,43
660,2.9,6,7,12,6,6,Thu,43
1320,7.4,6,32,11,6,11,Tue,43
1920,5.0,6,28,8,6,13,Thu,43
780,2.7,6,7,11,6,26,Wed,43
420,2.0,6,6,11,7,20,Sat,43
2640,10.4,6,25,13,7,26,Fri,43
1080,9.1,6,28,8,7,30,Tue,43
840,5.2,6,8,12,9,22,Sun,43
720,3.2,6,8,12,10,27,Sun,43
720,5.4,6,8,11,11,4,Mon,43
420,1.4,6,6,11,11,18,Mon,43
720,2.4,6,7,10,11,22,Fri,43
