secs,miles,pickup,dropoff,hour,month,day,wday,company_id
899,8.41,76,11,23,1,22,Tue,26
678,6.68,76,11,23,1,25,Fri,26
1035,8.98,76,11,20,1,26,Sat,26
855,7.3,76,11,20,2,4,Mon,26
2081,18.92,33,11,12,3,26,Tue,26
287,0.74,11,11,14,3,26,Tue,26
1723,18.96,32,11,9,4,5,Fri,26
2815,21.13,33,11,13,4,25,Thu,26
1019,6.86,76,11,13,4,28,Sun,26
2960,13.06,76,11,17,5,1,Wed,26
443,1.99,11,11,0,5,9,Thu,26
2911,9.95,8,11,17,5,10,Fri,26
1163,11.03,32,11,10,5,22,Wed,26
351,1.26,11,11,22,5,28,Tue,26
4016,17.81,76,11,17,6,4,Tue,26
1202,7.0,76,11,6,6,6,Thu,26
352,1.62,11,11,0,6,8,Sat,26
818,7.36,76,11,1,6,11,Tue,26
826,8.06,76,11,23,6,14,Fri,26
1623,9.53,8,11,8,6,20,Thu,26
2907,18.0,8,11,12,6,26,Wed,26
725,2.82,14,11,12,7,5,Fri,26
2833,2.8,14,11,12,7,5,Fri,26
827,2.92,14,11,12,7,5,Fri,26
3661,11.09,28,11,16,7,10,Wed,26
1076,9.93,32,11,8,8,7,Wed,26
1374,8.12,76,11,13,8,9,Fri,26
4656,10.43,8,11,10,8,12,Mon,26
1031,8.64,8,11,18,8,19,Mon,26
1303,5.66,3,11,8,8,22,Thu,26
1593,2.17,14,11,8,8,25,Sun,26
1065,10.98,76,11,3,9,4,Wed,26
1269,6.58,76,11,16,9,6,Fri,26
1317,8.39,76,11,17,9,15,Sun,26
862,0.58,11,11,6,9,16,Mon,26
1560,5.54,16,11,14,9,16,Mon,26
1054,10.02,32,11,6,9,20,Fri,26
408,2.08,14,11,6,9,26,Thu,26
2092,6.92,76,11,17,9,26,Thu,26
797,7.46,76,11,7,9,29,Sun,26
1024,8.78,76,11,14,9,29,Sun,26
1926,18.58,76,11,5,9,30,Mon,26
1109,8.47,76,11,18,9,30,Mon,26
769,7.97,24,11,11,10,8,Tue,26
800,7.75,76,11,13,10,8,Tue,26
1246,6.45,3,11,4,10,12,Sat,26
1020,5.58,3,11,4,10,19,Sat,26
1115,9.33,8,11,10,10,23,Wed,26
1279,6.91,1,11,6,10,30,Wed,26
1234,2.45,15,11,15,10,30,Wed,26
509,6.77,22,11,19,11,3,Sun,26
1426,11.48,32,11,18,11,4,Mon,26
1038,10.74,32,11,20,11,7,Thu,26
1130,7.74,6,11,21,11,10,Sun,26
1464,8.36,7,11,6,11,14,Thu,26
589,1.82,10,11,23,11,16,Sat,26
1253,9.44,8,11,18,11,18,Mon,26
3480,17.42,76,11,16,11,20,Wed,26
4065,27.53,76,11,11,11,21,Thu,26
601,2.22,15,11,11,11,26,Tue,26
1568,9.17,24,11,13,12,1,Sun,26
1223,4.46,21,11,14,12,4,Wed,26
1031,7.32,6,11,1,12,9,Mon,26
993,10.19,32,11,19,12,9,Mon,26
461,2.14,14,11,5,12,11,Wed,26
2972,11.5,8,11,17,12,12,Thu,26
839,4.08,4,11,22,12,31,Tue,26
