secs,miles,pickup,dropoff,hour,month,day,wday,company_id
1953,25.88,76,41,2,1,1,Tue,16
729,7.25,32,41,12,1,1,Tue,16
1920,51.2,76,41,12,1,1,Tue,16
1752,24.53,76,41,12,1,1,Tue,16
1202,7.35,28,41,14,1,1,Tue,16
837,7.91,8,41,10,1,2,Wed,16
660,6.3,33,41,11,1,2,Wed,16
1589,8.0,56,41,11,1,2,Wed,16
2373,24.93,76,41,13,1,2,Wed,16
732,1.37,41,41,13,1,2,Wed,16
3190,25.18,76,41,16,1,2,Wed,16
3252,24.41,76,41,16,1,2,Wed,16
3480,25.7,76,41,17,1,2,Wed,16
780,7.1,32,41,22,1,2,Wed,16
1886,26.5,76,41,22,1,2,Wed,16
2256,25.34,76,41,8,1,3,Thu,16
960,7.6,32,41,9,1,3,Thu,16
900,8.3,8,41,11,1,3,Thu,16
1242,9.42,28,41,12,1,3,Thu,16
735,7.6,32,41,13,1,3,Thu,16
3540,24.5,76,41,14,1,3,Thu,16
911,7.86,32,41,14,1,3,Thu,16
1200,7.2,32,41,16,1,3,Thu,16
1844,25.41,76,41,19,1,3,Thu,16
1218,7.52,32,41,20,1,3,Thu,16
2195,25.94,76,41,21,1,3,Thu,16
699,6.37,32,41,9,1,4,Fri,16
1297,9.5,8,41,9,1,4,Fri,16
880,7.57,8,41,9,1,4,Fri,16
797,8.43,8,41,10,1,4,Fri,16
300,1.0,41,41,12,1,4,Fri,16
2075,26.43,76,41,13,1,4,Fri,16
3600,24.7,76,41,16,1,4,Fri,16
480,1.6,41,41,16,1,4,Fri,16
893,6.69,32,41,17,1,4,Fri,16
2140,8.73,56,41,17,1,4,Fri,16
1320,6.9,41,41,17,1,4,Fri,16
300,0.8,41,41,18,1,4,Fri,16
240,0.8,41,41,18,1,4,Fri,16
931,7.42,32,41,18,1,4,Fri,16
1200,7.44,32,41,18,1,4,Fri,16
300,1.0,41,41,18,1,4,Fri,16
360,0.7,41,41,19,1,4,Fri,16
180,0.7,41,41,20,1,4,Fri,16
720,5.2,41,41,21,1,4,Fri,16
1012,7.93,32,41,22,1,4,Fri,16
1591,14.46,56,41,22,1,4,Fri,16
900,7.1,32,41,0,1,5,Sat,16
1854,25.97,76,41,8,1,5,Sat,16
801,9.18,28,41,9,1,5,Sat,16
2389,26.22,76,41,12,1,5,Sat,16
2509,26.0,76,41,13,1,5,Sat,16
3246,24.07,76,41,15,1,5,Sat,16
3089,24.32,76,41,15,1,5,Sat,16
3420,26.7,76,41,16,1,5,Sat,16
2216,25.62,76,41,19,1,5,Sat,16
943,9.96,28,41,23,1,5,Sat,16
713,6.84,32,41,9,1,6,Sun,16
1418,14.48,56,41,10,1,6,Sun,16
2138,24.97,76,41,11,1,6,Sun,16
3396,26.42,76,41,12,1,6,Sun,16
2611,24.49,76,41,14,1,6,Sun,16
2580,24.9,76,41,14,1,6,Sun,16
3025,27.35,76,41,14,1,6,Sun,16
2280,24.7,76,41,15,1,6,Sun,16
1080,7.5,8,41,15,1,6,Sun,16
1154,9.17,28,41,15,1,6,Sun,16
2155,25.54,76,41,17,1,6,Sun,16
2100,26.3,76,41,18,1,6,Sun,16
1501,14.57,56,41,18,1,6,Sun,16
1944,25.83,76,41,18,1,6,Sun,16
2294,25.42,76,41,19,1,6,Sun,16
1560,7.66,56,41,20,1,6,Sun,16
1845,26.06,76,41,22,1,6,Sun,16
1767,25.06,76,41,23,1,6,Sun,16
2026,26.75,76,41,23,1,6,Sun,16
1614,12.15,7,41,7,1,7,Mon,16
3784,25.2,76,41,7,1,7,Mon,16
1274,8.64,28,41,8,1,7,Mon,16
953,9.3,8,41,12,1,7,Mon,16
683,5.85,33,41,13,1,7,Mon,16
1001,2.81,41,41,16,1,7,Mon,16
780,6.8,32,41,18,1,7,Mon,16
2337,25.76,76,41,19,1,7,Mon,16
2267,24.95,76,41,19,1,7,Mon,16
1200,7.4,32,41,21,1,7,Mon,16
1860,25.7,76,41,23,1,7,Mon,16
825,8.48,28,41,9,1,8,Tue,16
1022,9.32,32,41,10,1,8,Tue,16
1291,8.83,8,41,10,1,8,Tue,16
420,1.3,41,41,11,1,8,Tue,16
958,7.45,32,41,11,1,8,Tue,16
863,6.99,32,41,14,1,8,Tue,16
3360,25.94,76,41,15,1,8,Tue,16
2040,8.0,32,41,18,1,8,Tue,16
893,7.63,8,41,19,1,8,Tue,16
1893,12.95,6,41,20,1,8,Tue,16
2147,24.86,76,41,21,1,8,Tue,16
1824,14.86,56,41,7,1,9,Wed,16
1613,9.83,8,41,8,1,9,Wed,16
500,1.49,41,41,8,1,9,Wed,16
960,7.7,8,41,8,1,9,Wed,16
1200,8.7,8,41,11,1,9,Wed,16
1227,10.3,8,41,13,1,9,Wed,16
740,1.97,41,41,13,1,9,Wed,16
1020,7.0,32,41,16,1,9,Wed,16
1020,8.1,28,41,16,1,9,Wed,16
1350,8.92,8,41,17,1,9,Wed,16
4062,25.89,76,41,18,1,9,Wed,16
1801,23.85,76,41,0,1,10,Thu,16
3195,26.78,76,41,8,1,10,Thu,16
1684,10.44,8,41,8,1,10,Thu,16
1094,8.79,8,41,11,1,10,Thu,16
540,1.4,41,41,11,1,10,Thu,16
2527,25.48,76,41,13,1,10,Thu,16
878,8.03,32,41,14,1,10,Thu,16
3744,25.99,76,41,15,1,10,Thu,16
1320,8.9,28,41,15,1,10,Thu,16
1084,8.43,32,41,16,1,10,Thu,16
1141,7.33,32,41,17,1,10,Thu,16
1500,9.6,8,41,17,1,10,Thu,16
1260,8.0,8,41,18,1,10,Thu,16
2131,25.5,76,41,20,1,10,Thu,16
960,7.8,32,41,22,1,10,Thu,16
1368,9.57,28,41,6,1,11,Fri,16
1243,8.8,8,41,7,1,11,Fri,16
1101,8.33,32,41,9,1,11,Fri,16
1245,11.1,8,41,9,1,11,Fri,16
420,0.9,41,41,15,1,11,Fri,16
787,7.24,32,41,16,1,11,Fri,16
1680,8.9,8,41,17,1,11,Fri,16
1020,8.3,8,41,10,1,12,Sat,16
