secs,miles,pickup,dropoff,hour,month,day,wday,company_id
1080,9.9,28,42,16,1,4,Fri,9
900,8.2,32,42,14,1,17,Thu,9
1560,9.7,8,42,15,2,1,Fri,9
1380,7.9,32,42,19,2,5,Tue,9
1200,8.7,32,42,12,2,12,Tue,9
2040,8.6,32,42,18,2,15,Fri,9
1140,9.0,32,42,14,2,25,Mon,9
960,9.0,32,42,20,3,1,Fri,9
1260,10.9,28,42,22,3,12,Tue,9
1020,9.0,32,42,19,3,19,Tue,9
1260,8.6,32,42,12,4,14,Sun,9
1320,10.3,32,42,9,4,23,Tue,9
1140,9.1,8,42,9,5,6,Mon,9
1020,8.8,8,42,23,5,17,Fri,9
1320,8.3,32,42,13,5,30,Thu,9
1080,8.8,33,42,13,6,2,Sun,9
1260,8.9,33,42,15,6,9,Sun,9
1620,10.6,32,42,20,6,19,Wed,9
6780,26.5,76,42,16,6,27,Thu,9
2160,26.8,76,42,8,7,7,Sun,9
900,8.4,32,42,11,7,9,Tue,9
1620,9.2,28,42,15,8,2,Fri,9
2700,26.7,76,42,1,8,15,Thu,9
3420,25.6,76,42,15,9,9,Mon,9
1200,10.1,28,42,11,10,13,Sun,9
720,1.9,41,42,20,10,14,Mon,9
1260,9.6,8,42,23,10,27,Sun,9
1500,10.0,28,42,9,12,11,Wed,9
