secs,miles,pickup,dropoff,hour,month,day,wday,company_id
1681,14.1,8,56,9,1,1,Tue,22
2344,27.1,76,56,13,1,1,Tue,22
1414,11.2,28,56,13,1,3,Thu,22
2308,15.1,56,56,21,1,3,Thu,22
2760,14.69,8,56,13,1,4,Fri,22
1287,13.0,32,56,16,1,6,Sun,22
1950,12.9,32,56,9,1,7,Mon,22
1425,14.59,7,56,5,1,8,Tue,22
2518,11.2,32,56,16,1,8,Tue,22
1511,13.03,8,56,7,1,10,Thu,22
1833,10.8,32,56,15,1,10,Thu,22
1750,15.0,7,56,11,1,12,Sat,22
1378,12.8,32,56,11,1,14,Mon,22
1364,12.9,32,56,13,1,14,Mon,22
1977,12.9,32,56,16,1,15,Tue,22
2635,13.3,8,56,16,1,15,Tue,22
1965,17.2,6,56,7,1,16,Wed,22
1189,11.1,28,56,12,1,16,Wed,22
1199,12.06,32,56,5,1,17,Thu,22
1664,12.4,32,56,11,1,17,Thu,22
1456,11.7,32,56,13,1,17,Thu,22
1419,10.8,32,56,13,1,17,Thu,22
1274,14.44,8,56,4,1,18,Fri,22
1577,12.4,56,56,10,1,18,Fri,22
1854,13.2,32,56,12,1,18,Fri,22
2288,12.9,32,56,13,1,18,Fri,22
2515,12.35,32,56,16,1,18,Fri,22
1389,12.0,8,56,9,1,20,Sun,22
1599,12.5,8,56,6,1,21,Mon,22
1609,12.9,8,56,8,1,21,Mon,22
2107,13.43,8,56,6,1,22,Tue,22
1289,10.86,32,56,12,1,23,Wed,22
1940,10.7,28,56,16,1,23,Wed,22
1908,11.0,32,56,14,1,24,Thu,22
2597,12.67,32,56,15,1,24,Thu,22
2356,12.8,32,56,15,1,24,Thu,22
1565,12.2,32,56,10,1,25,Fri,22
1361,11.31,32,56,12,1,25,Fri,22
3865,12.62,32,56,15,1,25,Fri,22
1672,14.8,56,56,11,1,26,Sat,22
2032,12.47,8,56,18,1,26,Sat,22
1703,10.35,28,56,14,1,27,Sun,22
2062,30.8,76,56,0,1,29,Tue,22
5474,10.5,28,56,9,1,30,Wed,22
1558,12.5,8,56,8,1,31,Thu,22
544,1.7,56,56,11,1,31,Thu,22
1441,11.6,32,56,14,1,31,Thu,22
2044,3.3,56,56,19,1,31,Thu,22
2552,12.51,32,56,13,2,1,Fri,22
1194,12.3,24,56,4,2,2,Sat,22
1093,11.2,33,56,5,2,2,Sat,22
1700,14.1,8,56,9,2,2,Sat,22
1503,13.5,8,56,12,2,5,Tue,22
2346,12.52,32,56,16,2,6,Wed,22
