secs,miles,pickup,dropoff,hour,month,day,wday,company_id
360,1.2,56,64,3,1,3,Thu,5
960,11.5,28,64,23,1,8,Tue,5
2040,12.5,32,64,16,1,14,Mon,5
2400,12.3,8,64,15,1,17,Thu,5
1680,7.1,69,64,18,1,17,Thu,5
960,9.6,33,64,11,1,31,Thu,5
720,3.5,56,64,13,2,5,Tue,5
600,3.4,56,64,22,2,16,Sat,5
1620,10.9,28,64,20,2,19,Tue,5
3960,9.6,8,64,17,2,28,Thu,5
2580,29.6,76,64,18,3,2,Sat,5
1380,13.2,32,64,23,3,2,Sat,5
480,5.3,56,64,22,3,7,Thu,5
660,5.3,56,64,20,3,13,Wed,5
540,4.1,56,64,21,3,14,Thu,5
1260,12.3,32,64,21,3,25,Mon,5
300,0.9,56,64,0,4,1,Mon,5
840,1.4,56,64,19,4,5,Fri,5
2820,13.1,8,64,18,4,15,Mon,5
660,3.4,56,64,14,4,21,Sun,5
2340,11.1,32,64,19,4,30,Tue,5
1680,12.5,32,64,13,5,8,Wed,5
2400,12.9,8,64,14,5,10,Fri,5
2340,14.1,8,64,13,5,12,Sun,5
420,1.4,56,64,0,5,16,Thu,5
1860,12.7,8,64,13,5,18,Sat,5
2400,12.8,8,64,8,5,21,Tue,5
720,2.7,56,64,0,6,4,Tue,5
1740,9.4,33,64,11,6,4,Tue,5
480,2.3,56,64,17,6,16,Sun,5
1200,14.6,8,64,6,6,17,Mon,5
1920,13.2,8,64,7,6,17,Mon,5
360,1.1,56,64,10,6,19,Wed,5
660,3.1,56,64,1,6,27,Thu,5
840,2.7,56,64,9,7,6,Sat,5
1560,16.0,6,64,6,7,8,Mon,5
2940,13.0,8,64,17,7,8,Mon,5
1560,13.9,8,64,22,7,18,Thu,5
1380,13.2,32,64,5,7,28,Sun,5
1680,11.8,32,64,7,8,5,Mon,5
660,2.6,56,64,17,8,19,Mon,5
540,1.8,56,64,20,8,22,Thu,5
1680,12.8,32,64,2,8,24,Sat,5
3420,25.3,76,64,15,8,30,Fri,5
1920,12.6,32,64,10,9,5,Thu,5
480,3.0,56,64,23,9,5,Thu,5
600,6.8,56,64,1,9,6,Fri,5
3600,13.1,8,64,17,9,12,Thu,5
1680,12.5,32,64,12,9,13,Fri,5
600,2.1,56,64,15,9,17,Tue,5
1020,9.9,33,64,11,9,18,Wed,5
600,2.4,56,64,22,10,24,Thu,5
300,1.4,56,64,23,11,5,Tue,5
660,3.4,56,64,22,12,3,Tue,5
360,1.7,56,64,0,12,5,Thu,5
2160,12.7,8,64,13,12,5,Thu,5
600,3.6,56,64,22,12,9,Mon,5
540,2.5,56,64,22,12,18,Wed,5
2340,30.3,76,64,13,12,24,Tue,5
