secs,miles,pickup,dropoff,hour,month,day,wday,company_id
2493,13.8,8,42,0,1,1,Tue,21
2103,9.5,44,42,9,1,3,Thu,21
1500,11.7,7,42,19,1,5,Sat,21
954,9.3,32,42,8,1,9,Wed,21
344,1.3,41,42,13,1,10,Thu,21
528,2.1,41,42,15,1,16,Wed,21
1320,9.9,8,42,14,1,18,Fri,21
509,1.8,41,42,12,1,22,Tue,21
486,1.6,41,42,15,1,22,Tue,21
555,1.6,41,42,16,1,22,Tue,21
1339,10.9,32,42,9,1,24,Thu,21
478,0.6,41,42,13,1,24,Thu,21
770,2.3,41,42,11,1,25,Fri,21
362,1.2,41,42,11,1,25,Fri,21
316,0.5,41,42,14,1,28,Mon,21
374,1.1,41,42,12,1,29,Tue,21
897,8.0,28,42,22,1,30,Wed,21
1142,8.5,32,42,12,2,4,Mon,21
1111,8.5,8,42,12,2,4,Mon,21
403,1.1,41,42,16,2,4,Mon,21
549,1.6,41,42,11,2,6,Wed,21
445,1.0,41,42,8,2,7,Thu,21
330,0.9,41,42,10,2,8,Fri,21
491,1.5,41,42,12,2,8,Fri,21
397,1.4,41,42,15,2,8,Fri,21
429,1.1,41,42,17,2,12,Tue,21
3342,13.3,32,42,19,2,13,Wed,21
634,1.9,41,42,12,2,15,Fri,21
549,2.1,69,42,4,2,17,Sun,21
294,1.1,41,42,14,2,20,Wed,21
408,1.3,41,42,10,2,21,Thu,21
1583,13.6,56,42,9,2,22,Fri,21
3493,18.3,41,42,10,2,22,Fri,21
1173,8.9,32,42,12,2,23,Sat,21
1220,9.8,8,42,10,2,24,Sun,21
1585,9.5,8,42,13,2,26,Tue,21
430,1.3,41,42,15,2,27,Wed,21
705,1.8,41,42,11,3,7,Thu,21
423,1.4,41,42,14,3,8,Fri,21
1355,10.2,8,42,21,3,9,Sat,21
1378,7.4,33,42,10,3,12,Tue,21
503,1.4,41,42,11,3,12,Tue,21
377,1.1,41,42,17,3,12,Tue,21
649,3.0,41,42,11,3,15,Fri,21
1255,8.9,32,42,15,3,17,Sun,21
1989,26.8,76,42,21,3,19,Tue,21
1405,7.7,32,42,15,3,23,Sat,21
416,1.3,41,42,10,3,25,Mon,21
664,2.8,41,42,12,3,25,Mon,21
595,1.8,45,42,16,3,28,Thu,21
394,1.3,41,42,9,4,1,Mon,21
1945,12.6,32,42,19,4,6,Sat,21
2913,17.5,32,42,9,4,19,Fri,21
409,1.6,41,42,11,4,22,Mon,21
508,1.3,41,42,14,4,24,Wed,21
150,0.9,41,42,16,4,25,Thu,21
1088,4.0,41,42,14,5,7,Tue,21
776,2.7,41,42,9,5,9,Thu,21
280,1.1,41,42,9,5,14,Tue,21
381,1.2,41,42,15,5,15,Wed,21
309,0.5,41,42,12,5,16,Thu,21
258,0.7,41,42,12,5,17,Fri,21
204,0.6,41,42,14,5,20,Mon,21
259,0.5,41,42,13,5,23,Thu,21
1264,6.4,39,42,21,5,24,Fri,21
1844,12.6,32,42,11,5,29,Wed,21
441,1.6,43,42,12,6,13,Thu,21
786,2.9,41,42,15,6,13,Thu,21
1457,8.0,56,42,7,6,14,Fri,21
1351,10.0,8,42,19,6,16,Sun,21
684,1.9,41,42,9,6,17,Mon,21
2463,15.1,56,42,19,6,20,Thu,21
462,0.6,41,42,14,6,25,Tue,21
380,1.1,41,42,11,6,26,Wed,21
1274,9.9,8,42,19,6,26,Wed,21
1787,11.9,8,42,6,7,6,Sat,21
662,1.6,41,42,15,7,9,Tue,21
476,1.2,41,42,14,7,17,Wed,21
5121,35.4,76,42,15,7,22,Mon,21
442,1.2,41,42,8,7,23,Tue,21
651,1.0,41,42,14,7,25,Thu,21
644,1.7,41,42,17,7,25,Thu,21
306,1.0,41,42,13,8,1,Thu,21
569,1.7,41,42,15,8,1,Thu,21
552,1.8,41,42,11,8,22,Thu,21
484,1.6,41,42,9,8,23,Fri,21
569,1.6,41,42,17,8,23,Fri,21
556,1.3,41,42,11,8,28,Wed,21
1470,9.8,8,42,19,9,6,Fri,21
1123,2.3,41,42,14,9,12,Thu,21
573,2.8,44,42,8,10,15,Tue,21
1191,8.4,32,42,16,10,27,Sun,21
593,1.6,41,42,10,11,7,Thu,21
511,1.5,41,42,10,11,7,Thu,21
505,2.0,41,42,12,11,9,Sat,21
1509,13.2,8,42,3,11,22,Fri,21
1498,12.2,8,42,22,11,28,Thu,21
457,1.9,41,42,14,12,5,Thu,21
381,1.2,41,42,13,12,12,Thu,21
469,1.5,41,42,11,12,24,Tue,21
430,1.3,41,42,13,12,30,Mon,21
