secs,miles,pickup,dropoff,hour,month,day,wday,company_id
3487,28.11,76,43,17,1,2,Wed,13
1313,9.95,32,43,19,1,9,Wed,13
1363,10.81,8,43,11,1,10,Thu,13
1848,10.51,8,43,17,1,22,Tue,13
1783,11.88,8,43,19,2,4,Mon,13
1849,10.71,32,43,12,2,8,Fri,13
1156,8.88,33,43,19,2,8,Fri,13
1001,8.35,32,43,13,2,14,Thu,13
2200,10.2,28,43,15,2,28,Thu,13
956,8.5,32,43,20,3,10,Sun,13
1273,10.68,8,43,3,3,17,Sun,13
117,0.78,43,43,3,3,18,Mon,13
123,0.76,46,43,3,3,26,Tue,13
146,1.0,43,43,3,3,29,Fri,13
132,0.69,46,43,6,3,31,Sun,13
161,0.88,46,43,3,4,2,Tue,13
1373,9.5,8,43,17,4,2,Tue,13
199,0.96,46,43,3,4,3,Wed,13
227,1.14,46,43,5,4,14,Sun,13
161,0.89,46,43,3,4,15,Mon,13
140,0.78,46,43,3,4,16,Tue,13
161,0.82,46,43,3,4,18,Thu,13
136,0.89,46,43,3,4,19,Fri,13
133,0.8,43,43,3,4,22,Mon,13
198,0.96,46,43,3,4,23,Tue,13
133,0.79,43,43,3,4,24,Wed,13
1788,14.8,56,43,14,4,24,Wed,13
196,1.14,43,43,3,4,25,Thu,13
2439,16.1,56,43,8,4,25,Thu,13
133,1.14,43,43,3,4,26,Fri,13
145,0.76,43,43,5,4,28,Sun,13
185,0.89,46,43,3,4,29,Mon,13
573,1.89,41,43,18,4,29,Mon,13
141,0.7,43,43,3,4,30,Tue,13
307,1.58,46,43,3,5,1,Wed,13
144,0.9,46,43,3,5,2,Thu,13
181,1.1,46,43,3,5,3,Fri,13
159,0.95,43,43,5,5,5,Sun,13
183,1.11,46,43,3,5,6,Mon,13
127,0.9,43,43,3,5,7,Tue,13
203,1.1,46,43,3,5,13,Mon,13
116,0.72,43,43,3,5,16,Thu,13
1430,10.59,8,43,7,5,16,Thu,13
297,1.43,46,43,5,5,19,Sun,13
135,0.78,46,43,3,5,20,Mon,13
138,0.78,46,43,3,5,21,Tue,13
100,0.66,43,43,3,5,24,Fri,13
189,1.13,46,43,3,5,28,Tue,13
134,0.78,43,43,3,5,29,Wed,13
129,0.89,43,43,3,5,30,Thu,13
150,0.88,46,43,3,5,31,Fri,13
150,0.88,46,43,3,6,3,Mon,13
147,0.89,46,43,3,6,4,Tue,13
152,0.78,46,43,3,6,5,Wed,13
1163,10.74,32,43,10,6,6,Thu,13
133,0.82,43,43,3,6,7,Fri,13
167,1.07,46,43,5,6,9,Sun,13
144,0.89,43,43,3,6,10,Mon,13
124,0.79,43,43,3,6,11,Tue,13
181,1.1,46,43,3,6,12,Wed,13
140,0.77,46,43,3,6,13,Thu,13
161,0.89,46,43,3,6,14,Fri,13
171,0.9,46,43,5,6,16,Sun,13
133,0.79,43,43,3,6,18,Tue,13
129,0.81,43,43,3,6,19,Wed,13
135,0.91,43,43,3,6,20,Thu,13
149,0.91,46,43,3,6,21,Fri,13
143,0.92,46,43,3,6,24,Mon,13
173,0.8,43,43,3,6,25,Tue,13
141,0.88,43,43,3,6,26,Wed,13
181,0.98,46,43,3,6,27,Thu,13
141,0.87,46,43,3,6,28,Fri,13
160,0.86,46,43,5,6,30,Sun,13
1083,3.4,41,43,15,6,30,Sun,13
147,0.88,43,43,3,7,1,Mon,13
2469,11.25,8,43,16,7,3,Wed,13
138,0.86,43,43,3,7,5,Fri,13
824,9.03,32,43,8,7,6,Sat,13
1313,12.05,28,43,9,7,6,Sat,13
140,0.93,46,43,3,7,8,Mon,13
177,1.0,46,43,3,7,11,Thu,13
129,0.89,46,43,3,7,12,Fri,13
2100,10.88,8,43,4,7,15,Mon,13
1352,10.21,32,43,12,7,18,Thu,13
2460,25.58,76,43,19,7,23,Tue,13
178,0.96,46,43,3,7,26,Fri,13
1203,10.45,32,43,8,7,29,Mon,13
981,3.54,41,43,13,7,31,Wed,13
1375,10.94,7,43,3,8,7,Wed,13
2243,10.86,8,43,16,8,14,Wed,13
1342,8.75,32,43,1,8,23,Fri,13
2527,16.58,56,43,2,8,29,Thu,13
1011,8.73,32,43,1,9,13,Fri,13
1413,10.18,8,43,21,9,18,Wed,13
1846,11.55,8,43,9,9,26,Thu,13
1134,10.36,28,43,5,10,1,Tue,13
2542,8.81,32,43,17,10,11,Fri,13
939,8.62,32,43,11,10,19,Sat,13
1509,10.95,28,43,21,10,20,Sun,13
1569,11.84,8,43,15,10,21,Mon,13
1380,9.32,32,43,18,10,23,Wed,13
1684,15.28,56,43,11,10,24,Thu,13
266,0.62,43,43,17,11,7,Thu,13
1526,10.5,8,43,16,11,11,Mon,13
1639,12.74,8,43,14,11,16,Sat,13
1104,9.82,8,43,23,11,16,Sat,13
1170,9.53,28,43,9,11,17,Sun,13
1235,9.61,8,43,14,11,26,Tue,13
1443,15.79,56,43,0,12,2,Mon,13
439,2.36,41,43,12,12,15,Sun,13
1833,10.36,32,43,17,12,16,Mon,13
1760,15.14,6,43,20,12,19,Thu,13
769,3.59,51,43,10,12,26,Thu,13
1968,10.46,32,43,17,12,28,Sat,13
